,updated,ID,name,absorption,protein_binding,half_life,strength,route,state,experimental_water_solubility,experimental_logP,predicted_water_solubility,pKa_strongest_acidic,pKa_strongest_basic,SMILES,pb_low,pb_high,half_life_low,half_life_high,total_charge,strength_norm,molecular_weight,n_rings,aromatic_rings,n_heterocycles,n_aromatic_heterocycles,n_saturated_heterocycles,n_aliphatic_heterocycles
0,02/07/2019 00:00,DB00006,Bivalirudin,"Following intravenous administration, bivalirudin exhibits linear pharmacokinetics.  The mean steady state concentration is 12.3 +/- 1.7mcg/mL after administration of an intravenous bolus of 1mg/kg followd by a 2.5mg/kg/hr intravenous infusion given over 4 hours.",,"* Normal renal function: 25 min (in normal conditions)
* Creatinine clearance 10-29mL/min: 57min
* Dialysis-dependant patients: 3.5h",250 mg/1,Intracavernous,solid,,,0.0464,2.79,11.88,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,,,,,0,,2178.985813,6,3,3,0,3,3
1,02/07/2019 00:00,DB00014,Goserelin,"Inactive orally, rapidly absorbed following subcutaneous administration.",0.273,4-5 hours,10.8 mg/1,Subcutaneous,solid,Soluble,-2,0.0283,9.27,10.82,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,0.273,0.273,4,5,0,,1268.641439,6,4,4,2,2,2
2,04/06/2019 00:00,DB00027,Gramicidin D,,,,,Auricular (otic); Ophthalmic,liquid,,,0.0039,11.56,,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,,,,,0,,1810.033419,8,8,4,4,0,0
3,02/07/2019 00:00,DB00035,Desmopressin,"Following nasal spray administration of 0.83 mcg and 1.66 mcg, median time to peak plasma concentrations (Tmax) was 0.25 and 0.75 hour, respectively [FDA Label]. The peak plasma concentration was approximately 4.00 (Â± 3.85) pg/mL and 9.11 (Â± 6.90) pg/mL, respectively [FDA Label]. The bioavailability of 1.5 mg/mL desmopressin administered by the intranasal route was between 3.3 and 4.1% [L1183].

The absolute bioavailability of orally administered desmopressin varies between 0.08% and 0.16% where the mean maximum plasma concentration is reached within 2 hours [L1184].",0.015,"Following an intranasal dose of 1.66 mcg of desmopressin, the median apparent terminal half-life was 2.8 hours [FDA Label]. Terminal half-life significantly increased from 3 hours in normal healthy patients to 9 hours in patients with severe renal impairment [FDA Label]. The oral terminal half life of desmopressin ranges from 2 to 3.11 hours [L1184].",4 ug/1mL,Intravenous,solid,,,0.11,9.5,11.77,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,0.015,0.015,,,0,,1068.426955,4,2,2,0,2,2
4,02/07/2019 00:00,DB00050,Cetrorelix,Rapidly absorbed following subcutaneous injection. The mean absolute bioavailability following subcutaneous administration to healthy female subjects is 85%.,0.86,~62.8 hours,0.25 mg,Subcutaneous,solid,,,0.00694,9.49,11.11,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0.86,0.86,62.8,62.8,0,,1429.669818,6,5,2,1,1,1
5,02/07/2019 00:00,DB00080,Daptomycin,Generally exhibits linear and time-independent pharmacokinetics at a dosage of 4â€“12 mg/kg IV once every 24 hours. Steady-state trough serum concentrations are achieved by the third daily dose.,,Half-life elimination: 8-9 hours (up to 28 hours in renal impairment) ,350 mg/350mg,Intravenous,solid,,,0.0173,2.98,9.59,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,,,,,0,,1619.710366,4,3,2,1,1,1
6,04/06/2019 00:00,DB00093,Felypressin,,,,,,solid,,,0.0453,11.39,10.18,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,,,,,0,,1039.436792,4,2,2,0,2,2
7,02/07/2019 00:00,DB00104,Octreotide,,,,1000 ug/1mL,Intravenous,liquid,,1,0.0122,11.4,10.17,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,,,,,0,,1018.44048,5,4,2,1,1,1
8,04/06/2019 00:00,DB00106,Abarelix,"Following IM administration of 100 mg, abarelix is absorbed slowly with a mean peak concentration of 43.4 ng/mL observed approximately 3 days after the injection.",96-99%,13.2 &plusmn; 3.2 days,,,solid,,,0.00371,9.47,10.66,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0.96,0.99,,,0,,1414.684071,6,5,2,1,1,1
9,04/06/2019 00:00,DB00114,Pyridoxal phosphate,,,,15 mg/1,Oral,solid,Appreciable,-1.2,5.7,1.68,4.11,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,,,,,0,15,247.0245737,1,1,1,1,0,0
10,04/06/2019 00:00,DB00116,Tetrahydrofolic acid,,,,,,solid,,-2.7,0.269,3.51,3.58,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,,,,,0,,445.1709815,3,2,2,1,0,1
11,04/06/2019 00:00,DB00117,Histidine,Absorbed from the small intestine via an active transport mechanism requiring the presence of sodium.,,,0.5 g/100g,Intravenous,solid,4.56E+004 mg/L (at 25 Â°C),-3.32,62,1.85,9.44,N[C@@H](CC1=CN=CN1)C(O)=O,,,,,0,,155.0694765,1,1,1,1,0,0
12,04/06/2019 00:00,DB00118,Ademetionine,"S-Adenosylmethionine is absorbed from the small intestine following oral intake. As absorption is affected by food, it is best to take on an empty stomach. Bioavailability is low following oral intake.",,,,,solid,,,1.62,1.7,9.41,[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O,,,,,0,,398.1372388,3,2,3,2,1,1
13,04/06/2019 00:00,DB00119,Pyruvic acid,Pyruvate is absorbed from the gastrointestinal tract from whence it is transported to the liver via the portal circulation.,,,,Extracorporeal,liquid,1E+006 mg/L (at 20 Â°C),-0.5,134,2.93,-9.6,CC(=O)C(O)=O,,,,,0,,88.01604399,0,0,0,0,0,0
14,04/06/2019 00:00,DB00120,L-Phenylalanine,Absorbed from the small intestine by a sodium dependent active transport process.,,,,Intravenous,solid,2.69E+004 mg/L (at 25 Â°C),-1.38,4.14,2.47,9.45,N[C@@H](CC1=CC=CC=C1)C(O)=O,,,,,0,,165.0789786,1,1,0,0,0,0
15,02/07/2019 00:00,DB00121,Biotin,Systemic - approximately 50%,,,300 mcg,Oral,solid,220 mg/L (at 25 Â°C),0.5,1.22,4.4,-1.9,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,,,,,0,0.3,244.0881634,2,0,2,0,2,2
16,02/07/2019 00:00,DB00122,Choline,,,,250 mg,Oral,liquid,Soluble,,3.61,13.97,-3.2,C[N+](C)(C)CCO,,,,,1,250,104.1069905,0,0,0,0,0,0
17,04/06/2019 00:00,DB00123,L-Lysine,Absorbed from the lumen of the small intestine into the enterocytes by an active transport process,,,,Intravenous,solid,1E+006 mg/L (at 20 Â°C),-3.05,105,2.74,10.29,NCCCC[C@H](N)C(O)=O,,,,,0,,146.1055277,0,0,0,0,0,0
